split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
1,4,150000,100,energy,0.7894033615708456,0.4082383582496562,0.2565456012369319,15173.029228202
10,4,150000,100,energy,0.895166311691334,0.5911935779259831,0.3005634098183716,13297.921693461
11,4,150000,100,energy,0.7834503672588874,0.5199254923955954,0.2809083908445766,15027.044321772
12,4,150000,100,energy,0.7651255818102403,0.4999984155630619,0.2834758532058574,15043.103837975
13,4,150000,100,energy,0.724621939775125,0.4805052232753717,0.2698210140500134,15171.256138526
14,4,150000,100,energy,0.783654064273653,0.5248396285096468,0.293099986356634,15216.077721894
15,4,150000,100,energy,0.6490129224232892,0.4130710581032094,0.2423919218758239,15194.323755161
16,4,150000,100,energy,0.6829769295328442,0.4359195802237725,0.2468679089275097,15211.567921354
17,4,150000,100,energy,0.711209930427245,0.4607366307480834,0.2597837463378845,15227.233239746
18,4,150000,100,energy,0.7541123041935565,0.4997283287833544,0.2820329890073291,15213.180630524
19,4,150000,100,energy,0.8099926081944552,0.5324947739713255,0.3032876841142742,15118.813890594
2,4,150000,100,energy,0.6807768369943612,0.4482874327903849,0.2535225943194292,15023.59231621
3,4,150000,100,energy,0.6955557691653251,0.4531101787423547,0.2619213922243379,15109.182712235
4,4,150000,100,energy,0.7029331566342513,0.455043174157306,0.2586982547999982,15013.971736946
5,4,150000,100,energy,0.6483647866302431,0.4195951783081572,0.2429214648010765,15044.423457633
6,4,150000,100,energy,0.626473177709554,0.3763270525012068,0.2270960083185375,15028.242268791
7,4,150000,100,energy,0.67877925376883,0.441510614644312,0.2561776626433269,15118.09189387
8,4,150000,100,energy,0.6761094348016015,0.4432081914211048,0.2534810334019469,13227.883678545
9,4,150000,100,energy,0.6693932104295058,0.4336811383566943,0.2503394307734036,13372.8067042
0,5,150000,100,energy,0.7620010874476577,0.5047784807775112,0.280426605087596,19497.980065857
1,5,150000,100,energy,0.6006580348821526,0.3521526104277877,0.214785725558517,19289.038843014
10,5,150000,100,energy,0.8833422442716309,0.5889383299554668,0.3025216436205485,19447.50829033
11,5,150000,100,energy,0.7896140279509811,0.5233681915614162,0.2837583096619134,19691.630848324
12,5,150000,100,energy,0.7515093506400591,0.4940921312826197,0.278752538598585,19675.452788632
13,5,150000,100,energy,0.8024756058534929,0.4826897547137793,0.2809929210584782,19692.171284829
14,5,150000,100,energy,0.7734691955853468,0.5141243278106518,0.2896883197065615,19330.455553809
